time,amplitude
0.64911,0.2
0.649115,0.2
0.64912,0.28
0.649125,0.2
0.64913,0.12
0.649135,0.2
0.64914,3.96
0.649145,3.96
0.64915,3.88
0.649155,3.88
0.64916,3.88
0.649165,3.88
0.64917,3.88
0.649175,3.96
0.64918,3.96
0.649185,3.96
0.64919,3.88
0.649195,3.96
0.6492,0.2
0.649205,0.2
0.64921,0.2
0.649215,0.28
0.64922,0.28
0.649225,0.28
0.64923,0.2
0.649235,3.88
0.64924,3.88
0.649245,3.88
0.64925,3.88
0.649255,3.88
0.64926,3.88
0.649265,0.2
0.64927,0.28
0.649275,0.2
0.64928,0.28
0.649285,0.2
0.64929,0.2
0.649295,0.2
0.6493,0.28
0.649305,0.2
0.64931,0.28
0.649315,0.12
0.64932,0.2
0.649325,3.8
0.64933,3.8
0.649335,3.8
0.64934,3.88
0.649345,3.88
0.64935,3.8
0.649355,3.8
0.64936,0.28
0.649365,0.12
0.64937,0.28
0.649375,0.2
0.64938,0.28
0.649385,0.2
0.64939,3.8
0.649395,3.8
0.6494,3.88
0.649405,3.8
0.64941,3.88
0.649415,3.8
0.64942,3.88
0.649425,3.88
0.64943,3.88
0.649435,3.88
0.64944,3.96
0.649445,3.88
0.64945,0.28
0.649455,0.2
0.64946,0.28
0.649465,0.28
0.64947,0.2
0.649475,0.28
0.64948,0.2
0.649485,0.2
0.64949,0.2
0.649495,0.2
0.6495,0.2
0.649505,0.28
0.64951,0.12
0.649515,3.96
0.64952,3.96
0.649525,3.96
0.64953,3.88
0.649535,3.88
0.64954,3.88
0.649545,0.28
0.64955,0.2
0.649555,0.28
0.64956,0.12
0.649565,0.2
0.64957,0.2
0.649575,3.96
0.64958,3.96
0.649585,3.96
0.64959,3.88
0.649595,3.88
0.6496,3.96
0.649605,3.96
0.64961,0.2
0.649615,0.2
0.64962,0.12
0.649625,0.28
0.64963,0.12
0.649635,0.28
0.64964,3.88
0.649645,3.88
0.64965,3.88
0.649655,3.88
0.64966,3.88
0.649665,3.96
0.64967,3.96
0.649675,3.96
0.64968,3.88
0.649685,3.88
0.64969,3.88
0.649695,3.88
0.6497,0.2
0.649705,0.28
0.64971,0.2
0.649715,0.2
0.64972,0.28
0.649725,0.28
0.64973,0.12
0.649735,3.8
0.64974,3.88
0.649745,3.88
0.64975,3.96
0.649755,3.88
0.64976,3.88
0.649765,0.12
0.64977,0.28
0.649775,0.2
0.64978,0.2
0.649785,0.2
0.64979,0.2
0.649795,0.2
0.6498,0.28
0.649805,0.2
0.64981,0.2
0.649815,0.12
0.64982,0.2
0.649825,3.8
0.64983,3.88
0.649835,3.88
0.64984,3.88
0.649845,3.8
0.64985,3.8
0.649855,3.8
0.64986,0.2
0.649865,0.2
0.64987,0.2
0.649875,0.2
0.64988,0.12
0.649885,0.2
0.64989,3.88
0.649895,3.88
0.6499,3.88
0.649905,3.8
0.64991,3.88
0.649915,3.88
0.64992,3.88
0.649925,3.88
0.64993,3.96
0.649935,3.96
0.64994,3.96
0.649945,3.96
0.64995,0.2
0.649955,0.2
0.64996,0.28
0.649965,0.2
0.64997,0.2
0.649975,0.2
0.64998,0.2
0.649985,3.96
0.64999,3.88
0.649995,3.96
0.65,3.96
0.650005,3.96
0.65001,3.96
0.650015,0.2
0.65002,0.28
0.650025,0.2
0.65003,0.2
0.650035,0.2
0.65004,0.2
0.650045,0.2
0.65005,0.2
0.650055,0.2
0.65006,0.2
0.650065,0.2
0.65007,0.12
0.650075,3.96
0.65008,3.88
0.650085,3.88
0.65009,3.88
0.650095,3.88
0.6501,3.8
0.650105,3.88
0.65011,0.2
0.650115,0.2
0.65012,0.2
0.650125,0.2
0.65013,0.2
0.650135,0.28
0.65014,3.8
0.650145,3.88
0.65015,3.88
0.650155,3.88
0.65016,3.88
0.650165,3.88
0.65017,3.96
0.650175,3.8
0.65018,3.88
0.650185,3.88
0.65019,3.8
0.650195,3.88
0.6502,0.2
0.650205,0.2
0.65021,0.2
0.650215,0.2
0.65022,0.28
0.650225,0.2
0.65023,0.12
0.650235,0.2
0.65024,0.2
0.650245,0.28
0.65025,0.2
0.650255,0.2
0.65026,0.2
